region,Film-Noir,Documentary,Biography,Drama,War,Music,History,Western,Comedy,Crime,Short,Mystery,Animation,Adventure,Romance,Sport,Musical,Fantasy,Thriller,Action,Horror,Sci-Fi,Family,Talk-Show,News,Game-Show,Reality-TV
France,0.4622,0.4217,0.4489,0.4553,0.4235,0.3533,0.3885,0.3325,0.2554,0.3021,0.3325,0.3027,0.2737,0.3229,0.3154,0.28,0.3036,0.2579,0.2019,0.2343,0.2427,0.2631,0.2414,0.1703,0.2012,0.1822,0.1257
Japan,0.4529,0.3987,0.4141,0.4748,0.3554,0.3568,0.3258,0.3038,0.2407,0.3414,0.255,0.2682,0.2973,0.3062,0.2459,0.2457,0.2458,0.2333,0.2489,0.2717,0.2006,0.218,0.1853,0.1298,0.1527,0.1343,0.175
South Korea,0.4592,0.4291,0.3886,0.487,0.3352,0.3323,0.3346,0.2926,0.302,0.2328,0.2499,0.2551,0.2276,0.2118,0.2344,0.2289,0.2314,0.2057,0.1818,0.2223,0.1153,0.159,0.156,0.1692,0.1723,0.2113,0.152
United Kingdom,0.4471,0.4296,0.4371,0.431,0.3505,0.3118,0.3124,0.2819,0.3302,0.2638,0.2462,0.278,0.2443,0.2005,0.2368,0.2521,0.2425,0.2254,0.2322,0.1524,0.194,0.149,0.1859,0.1275,0.1579,0.1273,0.1054
India,0.4389,0.3927,0.3773,0.2541,0.3183,0.3151,0.2901,0.2748,0.2779,0.2444,0.2332,0.2633,0.2429,0.2122,0.2282,0.2329,0.2122,0.2104,0.2637,0.1757,0.1412,0.167,0.1653,0.2745,0.1673,0.1751,0.1074
Norway,0.4521,0.4232,0.3788,0.2238,0.3239,0.3246,0.3291,0.276,0.2793,0.2156,0.2351,0.2289,0.2272,0.2134,0.2085,0.2041,0.2064,0.1958,0.2295,0.1769,0.1482,0.1413,0.1622,0.1333,0.1336,0.1222,0.0915
Iran,0.4261,0.3828,0.3784,0.4479,0.3225,0.2996,0.3321,0.2638,0.1997,0.2159,0.2285,0.213,0.2339,0.2147,0.1911,0.1958,0.1861,0.1781,0.1669,0.1456,0.1452,0.1399,0.1998,0.148,0.1414,0.149,0.0962
China,0.4418,0.3808,0.3684,0.4449,0.3028,0.3005,0.288,0.2723,0.3314,0.225,0.231,0.2254,0.1994,0.2159,0.1901,0.2008,0.1989,0.1746,0.1714,0.1316,0.1363,0.1378,0.1412,0.119,0.1214,0.1097,0.0846
United States,0.4859,0.4514,0.3748,0.3258,0.309,0.3325,0.2921,0.3768,0.2304,0.2446,0.2121,0.2671,0.2478,0.1927,0.1744,0.1825,0.2066,0.2093,0.1061,0.1301,0.0954,0.1195,0.1418,0.1206,0.1037,0.0828,0.0841
Turkey,0.4417,0.4199,0.3629,0.3878,0.315,0.3,0.3022,0.2639,0.2683,0.2677,0.2226,0.2249,0.2097,0.1888,0.2076,0.1891,0.1962,0.1868,0.1833,0.1567,0.0781,0.1439,0.1467,0.1064,0.1126,0.0905,0.0836
