modelo,genre,p_exito_promedio,categoria,top_regiones
Regresion Logistica,Drama,0.464,posible exito,"South Korea (0.55), France (0.54), United Kingdom (0.54)"
Regresion Logistica,Film-Noir,0.4634,posible exito,"South Korea (0.55), France (0.54), United Kingdom (0.54)"
Regresion Logistica,Biography,0.4182,posible exito,"South Korea (0.51), France (0.49), United Kingdom (0.49)"
Regresion Logistica,Documentary,0.4087,posible exito,"South Korea (0.50), France (0.48), United Kingdom (0.48)"
Regresion Logistica,Animation,0.3791,posible exito,"South Korea (0.47), France (0.45), United Kingdom (0.45)"
Regresion Logistica,War,0.3777,posible exito,"South Korea (0.46), France (0.45), United Kingdom (0.45)"
Regresion Logistica,Mystery,0.3392,posible exito,"South Korea (0.42), France (0.41), United Kingdom (0.40)"
Regresion Logistica,Music,0.3367,posible exito,"South Korea (0.42), France (0.41), United Kingdom (0.40)"
Regresion Logistica,Western,0.336,posible exito,"South Korea (0.42), France (0.41), United Kingdom (0.40)"
Regresion Logistica,Crime,0.3283,sin pena ni gloria,"South Korea (0.41), France (0.40), United Kingdom (0.39)"
Regresion Logistica,Adventure,0.3269,sin pena ni gloria,"South Korea (0.41), France (0.40), United Kingdom (0.39)"
Regresion Logistica,Comedy,0.315,sin pena ni gloria,"South Korea (0.40), France (0.38), United Kingdom (0.38)"
Regresion Logistica,History,0.3116,sin pena ni gloria,"South Korea (0.39), France (0.38), United Kingdom (0.37)"
Regresion Logistica,Short,0.3071,sin pena ni gloria,"South Korea (0.39), France (0.37), United Kingdom (0.37)"
Regresion Logistica,Game-Show,0.2989,sin pena ni gloria,"South Korea (0.38), France (0.37), United Kingdom (0.36)"
Regresion Logistica,Musical,0.2986,sin pena ni gloria,"South Korea (0.38), France (0.36), United Kingdom (0.36)"
Regresion Logistica,Fantasy,0.2918,sin pena ni gloria,"South Korea (0.37), France (0.36), United Kingdom (0.35)"
Regresion Logistica,Romance,0.2782,sin pena ni gloria,"South Korea (0.35), France (0.34), United Kingdom (0.34)"
Regresion Logistica,Sport,0.2754,posible fracaso,"South Korea (0.35), France (0.34), United Kingdom (0.33)"
Regresion Logistica,Action,0.2649,posible fracaso,"South Korea (0.34), France (0.33), United Kingdom (0.32)"
Regresion Logistica,Thriller,0.2638,posible fracaso,"South Korea (0.34), France (0.33), United Kingdom (0.32)"
Regresion Logistica,Sci-Fi,0.2527,posible fracaso,"South Korea (0.32), France (0.31), United Kingdom (0.31)"
Regresion Logistica,News,0.2275,posible fracaso,"South Korea (0.29), France (0.28), United Kingdom (0.28)"
Regresion Logistica,Family,0.2054,posible fracaso,"South Korea (0.27), France (0.26), United Kingdom (0.25)"
Regresion Logistica,Talk-Show,0.2053,posible fracaso,"South Korea (0.27), France (0.26), United Kingdom (0.25)"
Regresion Logistica,Reality-TV,0.1896,posible fracaso,"South Korea (0.25), France (0.24), United Kingdom (0.24)"
Regresion Logistica,Horror,0.1432,posible fracaso,"South Korea (0.19), France (0.18), United Kingdom (0.18)"
Random Forest,Film-Noir,0.4374,posible exito,"United States (0.49), France (0.46), South Korea (0.46)"
Random Forest,Documentary,0.3948,posible exito,"Denmark (0.47), Australia (0.45), United States (0.45)"
Random Forest,Biography,0.3736,posible exito,"France (0.45), United Kingdom (0.44), Japan (0.41)"
Random Forest,Drama,0.3581,posible exito,"South Korea (0.49), Japan (0.47), France (0.46)"
Random Forest,War,0.3141,posible exito,"France (0.42), Japan (0.36), United Kingdom (0.35)"
Random Forest,Music,0.3038,posible exito,"Japan (0.36), France (0.35), United States (0.33)"
Random Forest,History,0.3031,posible exito,"France (0.39), South Korea (0.33), Iran (0.33)"
Random Forest,Western,0.2654,posible exito,"United States (0.38), France (0.33), Japan (0.30)"
Random Forest,Comedy,0.2283,posible exito,"Poland (0.35), China (0.33), United Kingdom (0.33)"
Random Forest,Crime,0.227,sin pena ni gloria,"Japan (0.34), France (0.30), Turkey (0.27)"
Random Forest,Short,0.2253,sin pena ni gloria,"France (0.33), Japan (0.25), South Korea (0.25)"
Random Forest,Mystery,0.22,sin pena ni gloria,"France (0.30), United Kingdom (0.28), Japan (0.27)"
Random Forest,Animation,0.2177,sin pena ni gloria,"Japan (0.30), France (0.27), United States (0.25)"
Random Forest,Adventure,0.1995,sin pena ni gloria,"France (0.32), Japan (0.31), Mexico (0.22)"
Random Forest,Romance,0.1979,sin pena ni gloria,"France (0.32), Japan (0.25), United Kingdom (0.24)"
Random Forest,Sport,0.1965,sin pena ni gloria,"France (0.28), United Kingdom (0.25), Japan (0.25)"
Random Forest,Musical,0.1958,sin pena ni gloria,"France (0.30), Japan (0.25), United Kingdom (0.24)"
Random Forest,Fantasy,0.1806,sin pena ni gloria,"France (0.26), Japan (0.23), United Kingdom (0.23)"
Random Forest,Thriller,0.1744,posible fracaso,"India (0.26), Japan (0.25), United Kingdom (0.23)"
Random Forest,Action,0.157,posible fracaso,"Japan (0.27), France (0.23), South Korea (0.22)"
Random Forest,Horror,0.1479,posible fracaso,"France (0.24), Belgium (0.24), Japan (0.20)"
Random Forest,Sci-Fi,0.1422,posible fracaso,"France (0.26), Japan (0.22), India (0.17)"
Random Forest,Family,0.1383,posible fracaso,"France (0.24), Iran (0.20), United Kingdom (0.19)"
Random Forest,Talk-Show,0.1197,posible fracaso,"India (0.27), France (0.17), South Korea (0.17)"
Random Forest,News,0.1187,posible fracaso,"France (0.20), South Korea (0.17), India (0.17)"
Random Forest,Game-Show,0.1082,posible fracaso,"South Korea (0.21), France (0.18), India (0.18)"
Random Forest,Reality-TV,0.0919,posible fracaso,"Japan (0.17), South Korea (0.15), France (0.13)"
XGBoost,Film-Noir,0.6888,posible exito,"Japan (0.81), Denmark (0.76), Norway (0.76)"
XGBoost,Documentary,0.3644,posible exito,"Japan (0.47), United States (0.45), South Korea (0.45)"
XGBoost,Drama,0.3432,posible exito,"Japan (0.44), Iran (0.44), Denmark (0.42)"
XGBoost,Western,0.2753,posible exito,"Japan (0.39), United States (0.37), France (0.34)"
XGBoost,Comedy,0.2171,posible exito,"United Kingdom (0.31), Norway (0.31), India (0.27)"
XGBoost,Animation,0.1815,posible exito,"Netherlands (0.29), Iran (0.28), Japan (0.25)"
XGBoost,War,0.1645,posible exito,"France (0.25), Japan (0.25), Denmark (0.21)"
XGBoost,Crime,0.1633,posible exito,"Japan (0.26), Denmark (0.23), India (0.23)"
XGBoost,Music,0.1628,posible exito,"Japan (0.24), France (0.21), Germany (0.21)"
XGBoost,History,0.1609,sin pena ni gloria,"Iran (0.30), Japan (0.23), Turkey (0.20)"
XGBoost,Mystery,0.1545,sin pena ni gloria,"Japan (0.23), United Kingdom (0.21), France (0.20)"
XGBoost,Biography,0.1533,sin pena ni gloria,"Japan (0.24), United Kingdom (0.21), France (0.20)"
XGBoost,Romance,0.1472,sin pena ni gloria,"France (0.24), Japan (0.21), South Korea (0.20)"
XGBoost,Short,0.1411,sin pena ni gloria,"France (0.29), Iran (0.23), Japan (0.19)"
XGBoost,Thriller,0.1326,sin pena ni gloria,"Norway (0.21), Japan (0.20), United Kingdom (0.19)"
XGBoost,Fantasy,0.1318,sin pena ni gloria,"Japan (0.20), United Kingdom (0.19), Norway (0.18)"
XGBoost,Musical,0.1315,sin pena ni gloria,"France (0.23), Japan (0.21), Denmark (0.17)"
