region,genre,p_exito
Argentina,Documentary,0.45036129517401247
Argentina,Short,0.4294651557848481
Argentina,History,0.20411545584672475
Australia,Documentary,0.4725536827252939
Australia,Short,0.4051727632386048
Australia,History,0.1957273493459212
Belgium,Documentary,0.5013016409968566
Belgium,Short,0.39100576205369253
Belgium,History,0.18851250735245148
Brazil,Documentary,0.5428597595041551
Brazil,Short,0.4190177782059708
Brazil,Music,0.18676059657510855
Canada,Documentary,0.5199157756371957
Canada,Short,0.37585242884138964
Canada,Music,0.22490676284083022
China,Documentary,0.4673223830816311
China,Short,0.42402733888763694
China,History,0.19257726592289046
Denmark,Short,0.39826634195897975
Denmark,Documentary,0.3939021928530071
Denmark,History,0.18864901899442366
Egypt,Documentary,0.5289104979266825
Egypt,Short,0.4141902607973137
Egypt,History,0.20136423047159832
Finland,Short,0.420611449947531
Finland,Documentary,0.3793178190936726
Finland,History,0.19000780024314387
France,Documentary,0.5313861814553827
France,Short,0.3713879584856923
France,History,0.19340270934599102
Germany,Documentary,0.4657731305244936
Germany,Short,0.3679395064098641
Germany,History,0.17039533960525982
Greece,Documentary,0.5665998144292352
Greece,Short,0.4491776967762082
Greece,History,0.25482328473956456
Hong Kong,Documentary,0.5126669720254067
Hong Kong,Short,0.38874711695881314
Hong Kong,Music,0.18388827270381497
Hungary,Documentary,0.5260791271582886
Hungary,Short,0.4194283920924247
Hungary,History,0.19515475016096476
India,Documentary,0.6115169376659311
India,Biography,0.5149328601133363
India,History,0.5114686170367475
Iran,Documentary,0.5053304829604776
Iran,Short,0.43136783170879783
Iran,History,0.19160618184855596
Ireland,Documentary,0.5536875575509187
Ireland,Short,0.44851061025040423
Ireland,History,0.199168084666217
Italy,Documentary,0.37700146988363353
Italy,Short,0.3636923063879606
Italy,Music,0.16405500515476365
Japan,Short,0.35324281295690774
Japan,Documentary,0.3140379029793219
Japan,Drama,0.22252800842689358
Mexico,Documentary,0.4867878910044366
Mexico,Short,0.4214892106803574
Mexico,Music,0.19361838371285586
Netherlands,Documentary,0.4231498174169088
Netherlands,Short,0.36795348634798614
Netherlands,History,0.17281587914188629
Norway,Documentary,0.482804054043807
Norway,Short,0.41621149479471936
Norway,History,0.19478660356007058
Poland,Documentary,0.48461596027686094
Poland,Short,0.39296920777753575
Poland,History,0.1773895183551396
Russia,Documentary,0.4659877238249289
Russia,Short,0.3968917792753941
Russia,History,0.17199880337034956
South Korea,Documentary,0.5400181970341383
South Korea,Short,0.41889084131871523
South Korea,Music,0.2497362220116023
Soviet Union,Short,0.5312703817057489
Soviet Union,Documentary,0.5294418601760345
Soviet Union,Comedy,0.4471387897971662
Spain,Documentary,0.4443773347412352
Spain,Short,0.39618053457030206
Spain,History,0.17636378428198118
Sweden,Short,0.39360349220177887
Sweden,Documentary,0.3200514557219627
Sweden,Music,0.18411387436991195
Switzerland,Short,0.4132092680701119
Switzerland,Documentary,0.29264922045623937
Switzerland,History,0.19372802628483266
Turkey,Documentary,0.6468214941052925
Turkey,Short,0.38159775357289133
Turkey,Music,0.18251334703318647
United Kingdom,Documentary,0.6930442697311638
United Kingdom,Short,0.40330567661612743
United Kingdom,Music,0.20219056984887526
United States,Documentary,0.5831954288313634
United States,Short,0.37821548315483133
United States,Animation,0.20378637916337958
West Germany,Short,0.41561989826694706
West Germany,Documentary,0.36392085133050645
West Germany,Music,0.19687542189510535
