region,genre,p_exito
Argentina,Documentary,0.4742179319474584
Argentina,Short,0.3999932277100565
Argentina,History,0.22063299770671096
Australia,Documentary,0.48790246203415966
Australia,Short,0.37205945321984707
Australia,History,0.20442470077808636
Belgium,Documentary,0.5162581582545316
Belgium,Short,0.3544503558166355
Belgium,History,0.20516629490797958
Brazil,Documentary,0.5555872370859682
Brazil,Short,0.39654557035185845
Brazil,History,0.2024531317254902
Canada,Documentary,0.5373844960985033
Canada,Short,0.3561782108146637
Canada,Music,0.2290840615156133
China,Documentary,0.4924872595093161
China,Short,0.39673775284933965
China,History,0.21187697277610268
Denmark,Documentary,0.4098746888215464
Denmark,Short,0.37232788828587643
Denmark,History,0.20434885154702498
Egypt,Documentary,0.5457696468880096
Egypt,Short,0.3904333763412337
Egypt,History,0.21712750036558826
Finland,Documentary,0.3955697446560192
Finland,Short,0.3931051239761093
Finland,History,0.20636608372416781
France,Documentary,0.5391525847361277
France,Short,0.36124593241721037
France,History,0.20314846452901136
Germany,Documentary,0.47372839738240197
Germany,Short,0.3344076453877078
Germany,Music,0.18294684698322047
Greece,Documentary,0.5711170790963608
Greece,Short,0.42370217398142757
Greece,History,0.2773222045966938
Hong Kong,Documentary,0.5341197625834545
Hong Kong,Short,0.35935308426493845
Hong Kong,History,0.19379177092630775
Hungary,Documentary,0.5457198090835701
Hungary,Short,0.389972199817236
Hungary,History,0.21239533021946694
India,Documentary,0.6054183210517633
India,Biography,0.5389032988819901
India,History,0.5190904946005862
Iran,Documentary,0.5058095765654209
Iran,Short,0.40170586426062493
Iran,History,0.21234465103431166
Ireland,Documentary,0.5648537744656525
Ireland,Short,0.4183596157119358
Ireland,History,0.22222677889608744
Italy,Documentary,0.3936737816082665
Italy,Short,0.3455564541110274
Italy,History,0.17299890182081554
Japan,Documentary,0.3484538183062156
Japan,Short,0.342135090423319
Japan,Drama,0.22529913736419882
Mexico,Documentary,0.5023656526565222
Mexico,Short,0.394958932511256
Mexico,History,0.21121708193268385
Netherlands,Documentary,0.42790491817120985
Netherlands,Short,0.3437881513913824
Netherlands,History,0.19323432286127482
Norway,Documentary,0.5045064242803272
Norway,Short,0.3910357969926478
Norway,History,0.2116288638698383
Poland,Documentary,0.504415901641375
Poland,Short,0.365407714026599
Poland,History,0.18978445902301339
Russia,Documentary,0.49328734919415085
Russia,Short,0.3668699406146116
Russia,History,0.19254173442952507
South Korea,Documentary,0.5617162100156183
South Korea,Short,0.4059309234206212
South Korea,Music,0.25592628023433917
Soviet Union,Documentary,0.5445395454555332
Soviet Union,Short,0.511231033001319
Soviet Union,Comedy,0.43392119379940675
Spain,Documentary,0.44616968632046183
Spain,Short,0.3733825893647603
Spain,History,0.18995591659096958
Sweden,Short,0.362176651121665
Sweden,Documentary,0.3477495990829936
Sweden,History,0.20201761839000576
Switzerland,Short,0.3868375156033974
Switzerland,Documentary,0.2993280573787121
Switzerland,History,0.21152122899964726
Turkey,Documentary,0.6599488167411502
Turkey,Short,0.3566676539423095
Turkey,History,0.20181775639945637
United Kingdom,Documentary,0.706054809851005
United Kingdom,Short,0.387063430532835
United Kingdom,Music,0.20885313931239086
United States,Documentary,0.5829892695619162
United States,Short,0.36300657723326674
United States,Animation,0.21181513670392685
West Germany,Short,0.38643402698724594
West Germany,Documentary,0.3842365727973342
West Germany,History,0.20966518722428543
